ROW_UNO,TRAN_UNO,TRUST_UNO,TRAN_TYPE,TRAN_DATE,PERIOD,GL_AUDIT_NUM,SIGN,AMOUNT_TYPE,AMOUNT,HOLD_DATE,REMARKS,HELD,DRUNO,BAL_ZERO_NO_FCA,TRX_TYPE_CODE,WITHHOLD_TAX,REF_NUMBER,MATURITY_DATE,AUTH_UNO,INT_CLEAR_DAYS,ADJ_TRAN_DATE,TC_AMOUNT,TC_CODE,BANKREC_DTX_UNO,SESSION,EI_ID,LAST_MODIFIED
1256,1256,45,CR,2012-12-31 00:00:00.000,201212,-324,1,P,100000.0000000000,NULL,NULL,N,1,NULL,BB,NULL,NULL,NULL,NULL,NULL,NULL,100000.0000000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1257,1257,45,CR,2012-12-31 00:00:00.000,201212,-510,1,P,574194.3900000000,NULL,NULL,N,1,NULL,BB,NULL,NULL,NULL,NULL,NULL,NULL,574194.3900000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1258,1258,45,CR,2013-01-01 00:00:00.000,201301,-808,1,I,1584.0200000000,NULL,Q4-2012 Interest Deposit,N,1,NULL,INT,NULL,NULL,NULL,NULL,NULL,NULL,1584.0200000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1259,1259,45,CR,2013-01-01 00:00:00.000,201301,-809,1,I,780.8200000000,NULL,Q4-2012 Interest Deposit,N,1,NULL,INT,NULL,NULL,NULL,NULL,NULL,NULL,780.8200000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1260,1260,45,CR,2013-01-01 00:00:00.000,201301,-810,1,I,6985.0400000000,NULL,Q4-2012 Interest Deposit,N,1,NULL,INT,NULL,NULL,NULL,NULL,NULL,NULL,6985.0400000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1261,1261,45,CR,2013-01-31 00:00:00.000,201301,-1011,1,P,12500.0000000000,NULL,Draw deposit,N,1,NULL,DD,NULL,NULL,NULL,NULL,NULL,NULL,12500.0000000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1262,1262,45,CR,2013-02-28 00:00:00.000,201302,-1125,1,P,12500.0000000000,NULL,Draw Deposit  - DDA 13513,N,1,NULL,DD,NULL,NULL,NULL,NULL,NULL,NULL,12500.0000000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1263,1263,45,CR,2013-03-29 00:00:00.000,201303,-1218,1,P,12500.0000000000,NULL,Draw deposit  - DDA 13513,N,1,NULL,DD,NULL,NULL,NULL,NULL,NULL,NULL,12500.0000000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1264,1264,45,TRA,2013-03-29 00:00:00.000,201303,-1269,1,I,-2274.2800000000,NULL,Barclays loan interest payment,N,1,NULL,LNI,NULL,NULL,NULL,NULL,NULL,NULL,-2274.2800000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
1265,1265,45,CR,2013-04-01 00:00:00.000,201304,-1414,1,I,1500.6500000000,NULL,Interest earned through 01/01/13-03/31/13,N,1,NULL,INT,NULL,NULL,NULL,NULL,NULL,NULL,1500.6500000000,USD,NULL,NULL,NULL,2019-11-12 21:35:03.337
